Carrera Escogida,Escuela de Origen,Municipio,Estado,Sexo,Estado Civil,calFin,Paso
TSU EN GASTRONOMIA,CBTA # 5 (HUEJUTLA),HUEJUTLA DE REYES,YUCATAN,HOMBRE,VIUDO,10,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,ATLAPEXCO,YUCATAN,HOMBRE,SOLTERO,8,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,ATLAPEXCO,YUCATAN,MUJER,VIUDO,10,1
TSU EN MECATRONICA Area Automatizacion,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),TLANCHINOL,MEXICO,MUJER,DIVORCIADO,6,0
TSU EN GASTRONOMIA,CECYTE HUEJUTLA,HUEJUTLA DE REYES,PUEBLA,MUJER,DIVORCIADO,10,1
TSU EN CONTADURIA,COBAEH PLANTEL MECATLAN,HUEJUTLA DE REYES,JALISCO,HOMBRE,CASADO,9,1
TSU EN PROCESOS ALIMENTARIOS,CECYTEH PLANTEL SAN FELIPE,ATLAPEXCO,JALISCO,HOMBRE,CASADO,9,1
TSU EN GASTRONOMIA,CBTA # 5 (HUEJUTLA),YAHUALICA,MEXICO,HOMBRE,CASADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL JALTOCAN,TLANCHINOL,JALISCO,MUJER,CASADO,8,1
TSU EN MECATRONICA Area Automatizacion,COBAEH ATLAPEXCO,TLANCHINOL,YUCATAN,HOMBRE,DIVORCIADO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CECYTE HUEJUTLA,ATLAPEXCO,PUEBLA,HOMBRE,CASADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTE HUEJUTLA,HUEJUTLA DE REYES,JALISCO,HOMBRE,VIUDO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL JALTOCAN,ATLAPEXCO,JALISCO,MUJER,SOLTERO,7,0
TSU EN PROCESOS ALIMENTARIOS,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,HIDALGO,MUJER,DIVORCIADO,8,1
TSU EN MERCADOTECNIA,CECYTEH PLANTEL SAN FELIPE,ATLAPEXCO,HIDALGO,HOMBRE,CASADO,9,1
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL POXINDEJE,ATLAPEXCO,HIDALGO,MUJER,DIVORCIADO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,YAHUALICA,PUEBLA,HOMBRE,CASADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL TIANGUISTENGO,YAHUALICA,YUCATAN,HOMBRE,DIVORCIADO,8,1
TSU EN MERCADOTECNIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),HUEJUTLA DE REYES,YUCATAN,MUJER,CASADO,8,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH HUEJUTLA,ATLAPEXCO,YUCATAN,MUJER,SOLTERO,1,0
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL PACHUCA,YAHUALICA,PUEBLA,MUJER,CASADO,9,1
TSU EN AGROBIOTECNOLOGIA,COBAEH ATLAPEXCO,HUEJUTLA DE REYES,PUEBLA,MUJER,VIUDO,9,1
TSU EN CONTADURIA,CECYTE ATLAPEXCO,ATLAPEXCO,HIDALGO,HOMBRE,DIVORCIADO,8,1
TSU EN MERCADOTECNIA,CECYTEH PLANTEL PACHUCA,TLANCHINOL,JALISCO,HOMBRE,DIVORCIADO,9,1
TSU EN CONSTRUCCION,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),YAHUALICA,MEXICO,MUJER,VIUDO,10,1
TSU EN AGROBIOTECNOLOGIA,CECYTE ATLAPEXCO,HUEJUTLA DE REYES,MEXICO,MUJER,VIUDO,9,1
TSU EN CONTADURIA,COBAEH HUEJUTLA,TLANCHINOL,JALISCO,HOMBRE,SOLTERO,4,0
TSU EN PROCESOS ALIMENTARIOS,COBAEH HUEJUTLA,ATLAPEXCO,HIDALGO,HOMBRE,DIVORCIADO,10,1
TSU EN GASTRONOMIA,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,JALISCO,HOMBRE,SOLTERO,8,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,ATLAPEXCO,JALISCO,HOMBRE,DIVORCIADO,10,1
TSU EN CONSTRUCCION,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,YAHUALICA,MEXICO,MUJER,DIVORCIADO,1,0
TSU EN PROCESOS ALIMENTARIOS,CECYTE HUEJUTLA,HUEJUTLA DE REYES,HIDALGO,MUJER,SOLTERO,8,1
TSU EN MECATRONICA Area Automatizacion,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,TLANCHINOL,PUEBLA,MUJER,DIVORCIADO,10,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH PLANTEL TEHUETLAN,HUEJUTLA DE REYES,MEXICO,HOMBRE,DIVORCIADO,2,0
TSU EN GASTRONOMIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,YAHUALICA,PUEBLA,HOMBRE,SOLTERO,9,1
TSU EN MECATRONICA Area Automatizacion,CONALEP CIUDAD AZTECA,HUEJUTLA DE REYES,HIDALGO,MUJER,CASADO,4,0
TSU EN CONSTRUCCION,CONALEP CIUDAD AZTECA,YAHUALICA,JALISCO,MUJER,SOLTERO,10,1
TSU EN GASTRONOMIA,CBTA # 5 (HUEJUTLA),ATLAPEXCO,YUCATAN,MUJER,DIVORCIADO,10,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE ATLAPEXCO,TLANCHINOL,YUCATAN,HOMBRE,VIUDO,10,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CECYTEH PLANTEL POXINDEJE,ATLAPEXCO,HIDALGO,MUJER,CASADO,10,1
TSU EN CONSTRUCCION,COBAEH ATLAPEXCO,HUEJUTLA DE REYES,YUCATAN,HOMBRE,VIUDO,2,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH PLANTEL TIANGUISTENGO,ATLAPEXCO,PUEBLA,MUJER,CASADO,10,1
TSU EN CONTADURIA,COBAEH PLANTEL JALTOCAN,TLANCHINOL,YUCATAN,MUJER,VIUDO,10,1
TSU EN CONSTRUCCION,CBTA # 5 (HUEJUTLA),ATLAPEXCO,HIDALGO,MUJER,CASADO,10,1
TSU EN CONTADURIA,COBAEH HUEJUTLA,TLANCHINOL,HIDALGO,HOMBRE,SOLTERO,8,1
TSU EN MECATRONICA Area Automatizacion,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),TLANCHINOL,PUEBLA,HOMBRE,CASADO,8,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CONALEP CIUDAD AZTECA,ATLAPEXCO,YUCATAN,HOMBRE,CASADO,4,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL MECATLAN,YAHUALICA,YUCATAN,HOMBRE,CASADO,6,0
TSU EN GASTRONOMIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,HUEJUTLA DE REYES,JALISCO,HOMBRE,DIVORCIADO,2,0
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTE ATLAPEXCO,YAHUALICA,MEXICO,HOMBRE,VIUDO,8,1
TSU EN PROCESOS ALIMENTARIOS,CECYTE HUEJUTLA,YAHUALICA,HIDALGO,MUJER,SOLTERO,8,1
TSU EN AGROBIOTECNOLOGIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,ATLAPEXCO,JALISCO,HOMBRE,VIUDO,10,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL MECATLAN,HUEJUTLA DE REYES,HIDALGO,MUJER,VIUDO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),HUEJUTLA DE REYES,JALISCO,HOMBRE,SOLTERO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL SANTA CATARINA,YAHUALICA,MEXICO,MUJER,DIVORCIADO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,ATLAPEXCO,JALISCO,MUJER,CASADO,1,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,HUEJUTLA DE REYES,HIDALGO,HOMBRE,DIVORCIADO,9,1
TSU EN MERCADOTECNIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,YAHUALICA,YUCATAN,MUJER,DIVORCIADO,7,0
TSU EN MERCADOTECNIA,CBTA # 5 (HUEJUTLA),HUEJUTLA DE REYES,HIDALGO,HOMBRE,CASADO,8,1
TSU EN CONTADURIA,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,PUEBLA,HOMBRE,VIUDO,10,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,ATLAPEXCO,PUEBLA,HOMBRE,CASADO,1,0
TSU EN MERCADOTECNIA,CECYTE ATLAPEXCO,ATLAPEXCO,PUEBLA,HOMBRE,SOLTERO,8,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE ATLAPEXCO,HUEJUTLA DE REYES,PUEBLA,MUJER,CASADO,7,0
